cycle,state,state_num,active_mask,active_pc,instruction,ws_empty,kernel_done,t0_active,t0_wr_data,t1_active,t1_wr_data,t2_active,t2_wr_data,t3_active,t3_wr_data
1,FETCH,1,1111,0,0x00000000,1,0,1,0,1,0,1,0,1,0
2,FETCH,1,1111,0,0x00000000,1,0,1,0,1,0,1,0,1,0
3,FETCH,1,1111,0,0x00000000,1,0,1,0,1,0,1,0,1,0
4,DECODE,2,1111,0,0x3c3d0000,1,0,1,0,1,0,1,0,1,0
5,REQUEST,3,1111,0,0x3c3d0000,1,0,1,0,1,0,1,0,1,0
6,WAIT,4,1111,0,0x3c3d0000,1,0,1,0,1,0,1,0,1,0
7,WAIT,4,1111,0,0x3c3d0000,1,0,1,0,1,0,1,0,1,0
8,WAIT,4,1111,0,0x3c3d0000,1,0,1,0,1,0,1,0,1,0
9,WAIT,4,1111,0,0x3c3d0000,1,0,1,0,1,0,1,0,1,0
10,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,0,1,0,1,0
11,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,0,1,0,1,0
12,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,0,1,0
13,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,0,1,0
14,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,0
15,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,0
16,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
17,WAIT,4,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
18,EXECUTE,5,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
19,UPDATE,6,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
20,FETCH,1,1111,0,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
21,FETCH,1,1111,1,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
22,FETCH,1,1111,1,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
23,FETCH,1,1111,1,0x3c3d0000,1,0,1,5,1,4294967293,1,8,1,4294967295
24,DECODE,2,1111,1,0x34010000,1,0,1,0,1,0,1,0,1,0
25,EXECUTE,5,1111,1,0x34010000,1,0,1,0,1,0,1,0,1,0
